arch_type,size_variant,dataset_size,n_params,val_loss_mean,val_loss_std,val_accuracy_mean,val_accuracy_std,training_time_mean,training_time_std
decoder_only,base,1000,2343304,8.488890838623046,0.012199153186290808,0.0,0.0,1.5958337783813477,0.14833982716134045
decoder_only,base,5000,2343304,7.782165932655334,0.009035179968707218,0.0,0.0,7.497436904907227,0.29787694816996
decoder_only,base,10000,2343304,7.16220232040163,0.030112993157836165,0.0,0.0,14.78504033088684,0.13511617969759865
decoder_only,small,1000,778504,8.551616014753069,0.008454502930867523,0.0,0.0,1.0930126190185547,0.4441492979235443
decoder_only,small,5000,778504,7.95333731174469,0.006059053282411734,0.0,0.0,4.298235750198364,0.4240865393359649
decoder_only,small,10000,778504,7.614505077543713,0.027581440821190326,0.0,0.0,8.211862421035766,0.21109572753410255
encoder_decoder,base,1000,3136904,8.587779998779297,0.011943709853792001,0.0,0.0,2.3660176753997804,0.15022986283974046
encoder_decoder,base,5000,3136904,7.668261909484864,0.02239576440326314,0.0,0.0,11.282230186462403,0.20739536807959788
encoder_decoder,base,10000,3136904,6.192304338727679,0.021902976557202268,0.0,0.0,22.69695930480957,0.2529502821872081
encoder_decoder,small,1000,878728,8.592794472830636,0.008786521405271011,0.0,0.0,1.3022250175476073,0.02653292603449666
encoder_decoder,small,5000,878728,8.15093297958374,0.006552962173224983,0.0,0.0,6.272230577468872,0.34788912141218337
encoder_decoder,small,10000,878728,7.504724605499751,0.02007913584949643,0.0,0.0,12.485447263717651,0.2062514851865833
encoder_only,base,1000,1434378,2.3998587472098216,0.025561651798323967,0.075,0.011180339887498947,0.9984570026397703,0.08019249534500471
encoder_only,base,5000,1434378,2.3370161056518555,0.005767294393457892,0.09380000000000001,0.006648308055437866,4.858132600784302,0.6634645193657024
encoder_only,base,10000,1434378,2.320893787202381,0.003303283335927998,0.0988,0.00823559348195381,9.665995645523072,0.8687923392990871
encoder_only,small,1000,420618,2.4400076729910714,0.023988667206863903,0.10700000000000001,0.01890767040118903,0.6439298629760742,0.08544388251257892
encoder_only,small,5000,420618,2.3911663055419923,0.0082495367584398,0.1014,0.009787747442593725,2.821737289428711,0.25737921247958495
encoder_only,small,10000,420618,2.3434822203621035,0.008108714783137577,0.0987,0.0063796551630946295,5.582668733596802,0.26987992383384907
