run_id,dataset_size,model_name,arch_type,n_params,train_loss,val_loss,gen_gap,training_time
2,400,transformer_nano,transformer,3243968,10.414268493652344,10.316798210144043,-0.09747028350830078,0.9213721752166748
2,400,transformer_micro,transformer,6637056,10.100458908081055,9.888230323791504,-0.2122285842895515,0.9740710258483887
2,400,lstm_nano,lstm,3283601,10.758688354492188,10.721650123596191,-0.03703823089599645,0.9239678382873535
2,400,lstm_micro,lstm,6616273,10.699762725830078,10.53790283203125,-0.16185989379882848,1.0203022956848145
2,400,gru_nano,gru,3279377,10.686309432983398,10.574272155761719,-0.11203727722167933,0.9342660903930664
2,400,gru_micro,gru,6582993,10.46547203063965,10.14693832397461,-0.3185337066650398,1.0255851745605469
2,400,mlp_nano,mlp,3268817,10.753617477416991,10.705845832824707,-0.047771644592284446,0.811779260635376
2,400,mlp_micro,mlp,6499793,10.713591003417969,10.606305122375488,-0.10728588104248082,0.8747885227203369
2,800,transformer_nano,transformer,3243968,10.143357086181641,10.373858769734701,0.23050168355305978,1.7186620235443115
2,800,transformer_micro,transformer,6637056,9.59958553314209,10.040987332661947,0.44140179951985736,1.8827908039093018
2,800,lstm_nano,lstm,3283601,10.612524223327636,10.625361760457357,0.012837537129721355,1.8120734691619873
2,800,lstm_micro,lstm,6616273,10.094935417175293,10.397442181905111,0.3025067647298183,2.00331974029541
2,800,gru_nano,gru,3279377,10.545291137695312,10.577651341756185,0.0323602040608737,1.8011386394500732
2,800,gru_micro,gru,6582993,9.893633842468262,10.342647234598795,0.44901339213053326,2.0217621326446533
2,800,mlp_nano,mlp,3268817,10.555539321899413,10.583599726359049,0.028060404459635535,1.6029136180877686
2,800,mlp_micro,mlp,6499793,10.292705726623534,10.193089485168457,-0.09961624145507741,1.6675209999084473
2,1600,transformer_nano,transformer,3243968,9.688202571868896,9.717885780334473,0.029683208465577593,3.213545560836792
2,1600,transformer_micro,transformer,6637056,8.867922496795654,8.85343074798584,-0.014491748809813743,3.6650991439819336
2,1600,lstm_nano,lstm,3283601,10.111637735366822,10.152627754211426,0.04099001884460485,3.6604549884796143
2,1600,lstm_micro,lstm,6616273,9.387618589401246,9.648894691467286,0.2612761020660397,3.9275271892547607
2,1600,gru_nano,gru,3279377,10.144628524780273,10.141106986999512,-0.0035215377807613635,3.5955991744995117
2,1600,gru_micro,gru,6582993,9.343600511550903,9.61620864868164,0.27260813713073695,3.9918434619903564
2,1600,mlp_nano,mlp,3268817,10.096861696243286,9.760094451904298,-0.3367672443389882,3.109750509262085
2,1600,mlp_micro,mlp,6499793,8.482032012939452,8.484856605529785,0.002824592590332742,3.2527048587799072
2,3200,transformer_nano,transformer,3243968,8.70417091846466,8.240989208221436,-0.46318171024322474,6.4979870319366455
2,3200,transformer_micro,transformer,6637056,7.227710807323456,6.559655427932739,-0.6680553793907169,7.332546234130859
2,3200,lstm_nano,lstm,3283601,9.407414817810059,9.242748546600343,-0.16466627120971644,7.181502103805542
2,3200,lstm_micro,lstm,6616273,8.841731405258178,8.593013668060303,-0.24871773719787527,7.832460403442383
2,3200,gru_nano,gru,3279377,9.420943808555602,9.216071510314942,-0.20487229824066056,7.1544671058654785
2,3200,gru_micro,gru,6582993,8.719736552238464,8.537237405776978,-0.18249914646148646,7.863491535186768
2,3200,mlp_nano,mlp,3268817,8.15081969499588,7.680934476852417,-0.46988521814346296,6.079458475112915
2,3200,mlp_micro,mlp,6499793,7.844546103477478,7.595505475997925,-0.24904062747955358,6.528083086013794
