run_id,experiment_key,model_name,size_variant,arch_type,dataset_size,n_params,val_loss,val_accuracy,training_time
3,decoder_small_n1000,decoder,small,decoder_only,1000,778504,8.560962677001953,0.0,1.039604663848877
3,decoder_small_n5000,decoder,small,decoder_only,5000,778504,7.9595125913619995,0.0,4.387945890426636
3,decoder_small_n10000,decoder,small,decoder_only,10000,778504,7.628418210953001,0.0,8.051982402801514
3,decoder_base_n1000,decoder,base,decoder_only,1000,2343304,8.502991267613002,0.0,1.8105285167694092
3,decoder_base_n5000,decoder,base,decoder_only,5000,2343304,7.770866751670837,0.0,7.032918214797974
3,decoder_base_n10000,decoder,base,decoder_only,10000,2343304,7.201487889365544,0.0,14.791278600692749
3,encoder_small_n1000,encoder,small,encoder_only,1000,420618,2.4404384068080356,0.105,0.7954976558685303
3,encoder_small_n5000,encoder,small,encoder_only,5000,420618,2.3826284408569336,0.091,2.672912359237671
3,encoder_small_n10000,encoder,small,encoder_only,10000,420618,2.3421190049913196,0.103,5.28169846534729
3,encoder_base_n1000,encoder,base,encoder_only,1000,1434378,2.406703404017857,0.06,0.961970329284668
3,encoder_base_n5000,encoder,base,encoder_only,5000,1434378,2.330188751220703,0.1,4.998482942581177
3,encoder_base_n10000,encoder,base,encoder_only,10000,1434378,2.3182247101314486,0.1045,9.205193996429443
3,encdec_small_n1000,encdec,small,encoder_decoder,1000,878728,8.590613228934151,0.0,1.3452913761138916
3,encdec_small_n5000,encdec,small,encoder_decoder,5000,878728,8.14928150177002,0.0,5.9586262702941895
3,encdec_small_n10000,encdec,small,encoder_decoder,10000,878728,7.500401330372644,0.0,12.353444337844849
3,encdec_base_n1000,encdec,base,encoder_decoder,1000,3136904,8.600068773542132,0.0,2.33495831489563
3,encdec_base_n5000,encdec,base,encoder_decoder,5000,3136904,7.691826105117798,0.0,11.192566871643066
3,encdec_base_n10000,encdec,base,encoder_decoder,10000,3136904,6.184030260358538,0.0,22.566065788269043
