model_size,params,data_size,train_loss,test_loss,gap
10,7960,100,2.021226588361661,2.578727768376128,0.5575011800144667
50,39760,100,5.008534607800803e-05,12.268797777036005,12.268747691689926
100,79510,100,3.142348883187851e-07,11.312649830905436,11.312649516670547
200,159010,100,8.710032753553125e-05,12.4110764963471,12.410989396019565
300,238510,100,3.0080946882000318e-06,9.95196175802347,9.951958749928782
10,7960,500,1.9263930666492277,2.2390264417520034,0.31263337510277567
50,39760,500,0.0011041770868687535,6.839385842624041,6.838281665537172
100,79510,500,8.155501901996781e-05,6.8708366575215685,6.870755102502549
200,159010,500,0.051597791655132286,7.620601805470905,7.569004013815772
300,238510,500,3.148501602660591e-05,7.001654948006414,7.001623462990388
10,7960,1000,1.9152321977043267,2.196656085969221,0.2814238882648943
50,39760,1000,0.0005864370349667774,6.489122464958866,6.4885360279238995
100,79510,1000,4.1048484808385105e-05,5.936396187950323,5.9363551394655145
200,159010,1000,0.13850238171204637,6.211232298540172,6.072729916828125
300,238510,1000,2.2823930170457583e-05,5.636847162148935,5.636824338218764
10,7960,5000,1.4679241322389691,1.577315323175125,0.10939119093615579
50,39760,5000,0.41518999199310386,1.3310594560492752,0.9158694640561713
100,79510,5000,0.2933339021257275,2.528650208972463,2.2353163068467357
200,159010,5000,0.10799966899357309,2.8347670375579077,2.7267673685643348
300,238510,5000,0.4752465642626832,3.6010344628859903,3.125787898623307
10,7960,10000,1.1763888348903313,1.3600419531526136,0.18365311826228226
50,39760,10000,0.4609108998888729,0.9602492761999789,0.499338376311106
100,79510,10000,0.25621064601243215,0.9327496495924934,0.6765390035800612
200,159010,10000,0.20358497830954653,1.5443684290592918,1.3407834507497454
300,238510,10000,0.2218675037661599,1.4727060276723674,1.2508385239062074
